"id","exercise","ispreview"
29,11,false
743,443,false
744,467,false
745,438,false
746,493,false
747,472,false
748,453,false
749,521,false
750,483,false
751,448,false
752,516,false
753,462,false
754,488,false
756,580,false
757,603,false
758,566,false
759,587,false
760,573,false
761,594,false
763,678,false
764,666,false
765,671,false
766,683,false
767,694,false
768,701,false
769,614,false
770,619,false
771,626,false
772,643,false
773,649,false
774,657,false
775,526,false
776,531,false
777,536,false
778,556,false
779,561,false
780,547,false
833,443,false
834,467,false
835,438,false
836,580,false
837,603,false
838,566,false
839,11,false
840,547,false
842,11,false
843,678,false
844,488,false
846,678,false
847,701,false
848,666,false
849,643,false
850,614,false
851,683,false
852,11,false
853,657,false
854,619,false
855,526,false
856,671,false
857,587,false
858,561,false
859,649,false
860,531,false
861,694,false
862,626,false
863,573,false
864,443,false
865,467,false
866,438,false
867,493,false
868,472,false
869,678,false
870,701,false
871,453,false
872,521,false
873,556,false
874,666,false
875,483,false
876,643,false
877,448,false
878,594,false
879,614,false
880,683,false
881,11,false
882,657,false
883,701,false
884,619,false
885,671,false
886,516,false
887,649,false
888,694,false
889,666,false
890,643,false
891,580,false
892,462,false
893,614,false
894,11,false
895,603,false
896,566,false
897,488,false
898,683,false
899,657,false
900,11,false
901,619,false
902,626,false
903,671,false
904,649,false
905,11,false
906,694,false
907,11,false
908,580,false
909,626,false
910,11,false
911,580,false
912,603,false
913,678,false
914,701,false
915,666,false
916,580,false
917,443,false
918,467,false
919,438,false
920,526,false
921,531,false
922,443,false
923,453,false
924,678,false
925,701,false
926,11,false
927,666,false
928,643,false
929,580,false
930,580,false
931,443,false
932,443,false
933,467,false
934,438,false
935,580,false
936,493,false
937,603,false
938,472,false
939,11,false
940,678,false
941,580,false
942,443,false
943,453,false
944,443,false
945,467,false
946,580,false
947,467,false
949,678,false
950,438,false
951,493,false
952,701,false
953,666,false
954,11,false
955,443,false
956,467,false
957,438,false
958,643,false
959,678,false
960,493,false
961,614,false
962,701,false
963,438,false
964,666,false
965,493,false
966,472,false
967,643,false
968,614,false
969,683,false
970,472,false
971,453,false
972,580,false
973,603,false
974,657,false
975,566,false
976,619,false
977,547,false
978,526,false
979,587,false
980,521,false
981,561,false
982,531,false
983,573,false
984,556,false
985,594,false
986,683,false
987,536,false
988,657,false
989,619,false
990,483,false
991,11,false
992,671,false
993,649,false
994,448,false
995,694,false
996,516,false
997,626,false
998,462,false
999,11,false
1000,493,false
1001,472,false
1002,453,false
1003,521,false
1004,483,false
1005,448,false
1006,516,false
1007,462,false
1008,488,false
1009,11,false
1010,614,false
1011,683,false
1012,657,false
1013,580,false
1014,536,false
1015,603,false
1016,594,false
1017,556,false
1018,467,false
1019,603,false
1020,438,false
1021,573,false
1022,493,false
1023,566,false
1024,566,false
1025,472,false
1026,453,false
1027,521,false
1028,547,false
1029,483,false
1030,448,false
1031,516,false
1032,526,false
1033,521,false
1034,587,false
1035,462,false
1036,483,false
1037,561,false
1038,531,false
1039,573,false
1040,556,false
1041,448,false
1042,472,false
1043,516,false
1044,594,false
1045,488,false
1046,11,false
1047,536,false
1048,462,false
1049,443,false
1050,443,false
1051,467,false
1052,438,false
1053,493,false
1054,472,false
1055,453,false
1056,521,false
1057,671,false
1058,483,false
1059,488,false
1060,649,false
1061,448,false
1062,547,false
1063,694,false
1064,526,false
1065,516,false
1066,626,false
1067,462,false
1068,488,false
1069,11,false
1070,453,false
1071,678,false
1072,521,false
1073,483,false
1074,467,false
1075,448,false
1076,438,false
1077,493,false
1078,472,false
1079,453,false
1080,521,false
1081,483,false
1082,448,false
1083,516,false
1084,462,false
1085,488,false
1086,11,false
1087,536,false
1088,11,false
1089,580,false
1090,678,false
1091,701,false
1092,603,false
1093,666,false
1094,643,false
1095,614,false
1096,683,false
1097,11,false
1098,657,false
1099,619,false
1100,671,false
1101,678,false
1102,649,false
1103,694,false
1104,626,false
1105,11,false
1106,619,false
1107,671,false
1108,649,false
1109,694,false
1110,626,false
1111,580,false
1112,603,false
1113,678,false
1114,701,false
1115,666,false
1116,643,false
1117,614,false
1118,683,false
1119,657,false
1120,619,false
1121,671,false
1122,649,false
1123,694,false
1124,626,false
1125,11,false
1126,580,false
1127,603,false
1128,566,false
1129,11,false
1130,678,false
1131,701,false
1132,666,false
1133,643,false
1134,614,false
1135,683,false
1136,657,false
1137,619,false
1138,671,false
1139,649,false
1140,694,false
1141,626,false
1142,547,false
1143,526,false
1144,587,false
1145,561,false
1146,531,false
1147,573,false
1148,556,false
1149,594,false
1151,443,false
1152,467,false
1153,438,false
1154,493,false
1155,472,false
1156,453,false
1157,521,false
1158,483,false
1159,448,false
1160,516,false
1161,462,false
1162,488,false
1163,11,false
1164,536,false
1165,11,false
1166,580,false
1167,443,false
1168,467,false
1169,438,false
1170,678,false
1171,493,false
1172,472,false
1173,453,false
1174,521,false
1175,483,false
1176,448,false
1177,516,false
1178,701,false
1179,462,false
1180,587,false
1181,488,false
1182,531,false
1183,573,false
1184,536,false
1185,594,false
1186,580,false
1187,603,false
1188,566,false
1189,547,false
1190,526,false
1191,443,false
1192,561,false
