"assignment","user","typeid","type","stepid","step","updatedon"
29,Christophe,3,Submission,1,Analysis,2022-05-19 10:52:24
29,Christophe,1,Current,2,Comparison,2022-05-19 10:52:24
29,Christophe,3,Submission,2,Comparison,2022-05-19 10:52:51
779,Heiditest2,3,Submission,1,Analysis,2022-05-24 21:25:45
779,Heiditest2,1,Current,2,Comparison,2022-05-24 21:25:45
853,User_309,3,Submission,1,Analysis,2022-05-31 15:58:19
853,User_309,1,Current,2,Comparison,2022-05-31 16:00:20
927,User_315,3,Submission,1,Analysis,2022-06-02 03:36:51
927,User_315,1,Current,2,Comparison,2022-06-02 03:36:51
743,Heiditest,1,Current,1,Analysis,2022-05-23 19:42:23
743,Heiditest,3,Submission,1,Analysis,2022-05-23 19:42:44
743,Heiditest,1,Current,2,Comparison,2022-05-23 20:01:17
744,Heiditest,1,Current,1,Analysis,2022-05-23 20:28:25
744,Heiditest,3,Submission,1,Analysis,2022-05-23 20:28:36
744,Heiditest,1,Current,2,Comparison,2022-05-23 20:35:09
746,Heiditest,1,Current,1,Analysis,2022-05-23 20:43:26
746,Heiditest,3,Submission,1,Analysis,2022-05-23 20:43:30
780,Heiditest2,3,Submission,1,Analysis,2022-05-26 15:31:43
780,Heiditest2,1,Current,2,Comparison,2022-05-26 15:31:43
927,User_315,3,Submission,2,Comparison,2022-06-02 03:39:52
1004,User_100,3,Submission,2,Comparison,2022-06-03 01:06:46
1074,User_127,3,Submission,2,Comparison,2022-06-03 19:51:26
746,Heiditest,1,Current,2,Comparison,2022-05-23 20:44:33
747,Heiditest,1,Current,1,Analysis,2022-05-23 20:46:56
747,Heiditest,3,Submission,1,Analysis,2022-05-23 20:46:59
757,Heiditest2,1,Current,2,Comparison,2022-05-24 15:11:44
928,User_315,3,Submission,1,Analysis,2022-06-02 03:40:30
928,User_315,1,Current,2,Comparison,2022-06-02 03:40:30
1005,User_100,3,Submission,1,Analysis,2022-06-03 01:07:49
1005,User_100,1,Current,2,Comparison,2022-06-03 01:07:49
1076,User_127,3,Submission,1,Analysis,2022-06-03 19:51:39
747,Heiditest,1,Current,2,Comparison,2022-05-23 20:47:57
748,Heiditest,3,Submission,1,Analysis,2022-05-23 20:49:32
748,Heiditest,1,Current,2,Comparison,2022-05-23 20:49:32
749,Heiditest,3,Submission,1,Analysis,2022-05-23 22:15:46
749,Heiditest,1,Current,2,Comparison,2022-05-23 22:15:46
750,Heiditest,3,Submission,1,Analysis,2022-05-23 22:17:20
750,Heiditest,1,Current,2,Comparison,2022-05-23 22:17:20
751,Heiditest,3,Submission,1,Analysis,2022-05-23 22:20:14
1005,User_100,3,Submission,2,Comparison,2022-06-03 01:12:30
1076,User_127,1,Current,2,Comparison,2022-06-03 19:51:39
751,Heiditest,1,Current,2,Comparison,2022-05-23 22:20:14
752,Heiditest,3,Submission,1,Analysis,2022-05-23 22:35:42
752,Heiditest,1,Current,2,Comparison,2022-05-23 22:37:29
753,Heiditest,3,Submission,1,Analysis,2022-05-23 22:40:55
753,Heiditest,1,Current,2,Comparison,2022-05-23 22:47:55
754,Heiditest,3,Submission,1,Analysis,2022-05-23 22:48:33
754,Heiditest,1,Current,2,Comparison,2022-05-23 22:48:33
758,Heiditest2,1,Current,1,Analysis,2022-05-24 15:14:58
1006,User_100,3,Submission,1,Analysis,2022-06-03 01:12:40
745,Heiditest,3,Submission,1,Analysis,2022-05-23 23:01:16
745,Heiditest,1,Current,2,Comparison,2022-05-23 23:04:09
756,Heiditest2,3,Submission,1,Analysis,2022-05-24 15:00:05
756,Heiditest2,1,Current,2,Comparison,2022-05-24 15:04:36
757,Heiditest2,3,Submission,1,Analysis,2022-05-24 15:09:20
778,Heiditest2,1,Current,2,Comparison,2022-05-24 21:24:26
1066,User_333,1,Current,2,Comparison,2022-06-03 20:13:50
759,Heiditest2,3,Submission,1,Analysis,2022-05-24 15:17:02
759,Heiditest2,1,Current,2,Comparison,2022-05-24 15:19:35
760,Heiditest2,3,Submission,1,Analysis,2022-05-24 15:21:03
1006,User_100,1,Current,2,Comparison,2022-06-03 01:12:40
761,Heiditest2,3,Submission,1,Analysis,2022-05-24 15:25:11
760,Heiditest2,1,Current,2,Comparison,2022-05-26 17:31:02
761,Heiditest2,1,Current,2,Comparison,2022-05-24 15:27:39
763,Heiditest3,3,Submission,1,Analysis,2022-05-24 16:49:08
763,Heiditest3,1,Current,2,Comparison,2022-05-24 16:51:59
764,Heiditest3,3,Submission,1,Analysis,2022-05-24 16:53:08
764,Heiditest3,1,Current,2,Comparison,2022-05-24 16:56:28
765,Heiditest3,3,Submission,1,Analysis,2022-05-24 16:57:36
765,Heiditest3,1,Current,2,Comparison,2022-05-24 17:00:34
766,Heiditest3,3,Submission,1,Analysis,2022-05-24 17:16:44
766,Heiditest3,1,Current,2,Comparison,2022-05-24 17:18:38
767,Heiditest3,3,Submission,1,Analysis,2022-05-24 17:19:48
