"assignment","typeid","type","stepid","step","updatedon","conclusion","mark_value","mark_degradation","mark_details","decision","decision_ex","comparison_need_better_known","comparison_l3details","comparison_qualquant"
29,3,Submission,1,Analysis,2022-05-19 10:52:24,"""--""","1",[6],"[100,201,302]",,,,,
29,1,Current,2,Comparison,2022-05-19 10:52:24,,,,,,,,,
29,3,Submission,2,Comparison,2022-05-19 10:52:51,""" """,,,,"2",,,"0",null
779,3,Submission,1,Analysis,2022-05-24 21:25:45,null,null,null,null,,,,,
779,1,Current,2,Comparison,2022-05-24 21:25:45,,,,,,,,,
853,3,Submission,1,Analysis,2022-05-31 15:58:19,null,null,null,null,,,,,
853,1,Current,2,Comparison,2022-05-31 16:00:20,null,,,,"1",,,"0",null
927,3,Submission,1,Analysis,2022-06-02 03:36:51,null,null,null,null,,,,,
927,1,Current,2,Comparison,2022-06-02 03:36:51,,,,,,,,,
743,1,Current,1,Analysis,2022-05-23 19:42:23,null,null,null,null,,,,,
743,3,Submission,1,Analysis,2022-05-23 19:42:44,null,null,null,null,,,,,
743,1,Current,2,Comparison,2022-05-23 20:01:17,null,,,,null,,,null,null
744,1,Current,1,Analysis,2022-05-23 20:28:25,null,null,null,null,,,,,
744,3,Submission,1,Analysis,2022-05-23 20:28:36,null,null,null,null,,,,,
744,1,Current,2,Comparison,2022-05-23 20:35:09,null,,,,null,,,null,null
746,1,Current,1,Analysis,2022-05-23 20:43:26,null,null,null,null,,,,,
746,3,Submission,1,Analysis,2022-05-23 20:43:30,null,null,null,null,,,,,
780,3,Submission,1,Analysis,2022-05-26 15:31:43,null,null,null,null,,,,,
780,1,Current,2,Comparison,2022-05-26 15:31:43,,,,,,,,,
927,3,Submission,2,Comparison,2022-06-02 03:39:52,null,,,,"2",,,"0",null
1004,3,Submission,2,Comparison,2022-06-03 01:06:46,null,,,,"1",,,null,null
1074,3,Submission,2,Comparison,2022-06-03 19:51:26,null,,,,"0",,,null,null
746,1,Current,2,Comparison,2022-05-23 20:44:33,null,,,,null,,,null,null
747,1,Current,1,Analysis,2022-05-23 20:46:56,null,null,null,null,,,,,
747,3,Submission,1,Analysis,2022-05-23 20:46:59,null,null,null,null,,,,,
757,1,Current,2,Comparison,2022-05-24 15:11:44,null,,,,null,,,null,null
928,3,Submission,1,Analysis,2022-06-02 03:40:30,null,null,null,null,,,,,
928,1,Current,2,Comparison,2022-06-02 03:40:30,,,,,,,,,
1005,3,Submission,1,Analysis,2022-06-03 01:07:49,null,null,null,null,,,,,
1005,1,Current,2,Comparison,2022-06-03 01:07:49,,,,,,,,,
1076,3,Submission,1,Analysis,2022-06-03 19:51:39,null,null,null,null,,,,,
747,1,Current,2,Comparison,2022-05-23 20:47:57,null,,,,null,,,null,null
748,3,Submission,1,Analysis,2022-05-23 20:49:32,null,null,null,null,,,,,
748,1,Current,2,Comparison,2022-05-23 20:49:32,,,,,,,,,
749,3,Submission,1,Analysis,2022-05-23 22:15:46,null,null,null,null,,,,,
749,1,Current,2,Comparison,2022-05-23 22:15:46,,,,,,,,,
750,3,Submission,1,Analysis,2022-05-23 22:17:20,null,null,null,null,,,,,
750,1,Current,2,Comparison,2022-05-23 22:17:20,,,,,,,,,
751,3,Submission,1,Analysis,2022-05-23 22:20:14,null,null,null,null,,,,,
1005,3,Submission,2,Comparison,2022-06-03 01:12:30,null,,,,"2",,,null,null
1076,1,Current,2,Comparison,2022-06-03 19:51:39,,,,,,,,,
751,1,Current,2,Comparison,2022-05-23 22:20:14,,,,,,,,,
752,3,Submission,1,Analysis,2022-05-23 22:35:42,null,null,null,null,,,,,
752,1,Current,2,Comparison,2022-05-23 22:37:29,null,,,,null,,,null,null
753,3,Submission,1,Analysis,2022-05-23 22:40:55,null,null,null,null,,,,,
753,1,Current,2,Comparison,2022-05-23 22:47:55,null,,,,null,,,null,null
754,3,Submission,1,Analysis,2022-05-23 22:48:33,null,null,null,null,,,,,
754,1,Current,2,Comparison,2022-05-23 22:48:33,,,,,,,,,
758,1,Current,1,Analysis,2022-05-24 15:14:58,null,null,null,null,,,,,
1006,3,Submission,1,Analysis,2022-06-03 01:12:40,null,null,null,null,,,,,
745,3,Submission,1,Analysis,2022-05-23 23:01:16,null,null,null,null,,,,,
745,1,Current,2,Comparison,2022-05-23 23:04:09,null,,,,null,,,null,null
756,3,Submission,1,Analysis,2022-05-24 15:00:05,null,null,null,null,,,,,
756,1,Current,2,Comparison,2022-05-24 15:04:36,null,,,,null,,,null,null
757,3,Submission,1,Analysis,2022-05-24 15:09:20,null,null,null,null,,,,,
778,1,Current,2,Comparison,2022-05-24 21:24:26,,,,,,,,,
